run_id,nose_frac,nose_power,tail_frac,backlight_deg,boattail_deg,frontal_area_m2,stl_file,Cd,Cl,drag_N,lift_N
run_000,0.29871,3.49086,0.23571,15.68805,18.31764,0.10484,geometries/run_000.stl,0.10435,-0.09758,6.0305,-5.6393
run_001,0.25337,1.60914,0.20878,27.47331,3.42494,0.10484,geometries/run_001.stl,0.21234,0.22532,12.2718,13.0222
run_002,0.19105,3.14736,0.30074,15.03692,13.09276,0.10484,geometries/run_002.stl,0.11577,-0.09131,6.6908,-5.2770
run_003,0.25295,2.46761,0.34570,29.82758,11.22806,0.10484,geometries/run_003.stl,0.10552,0.04576,6.0986,2.6444
run_004,0.30874,2.65928,0.38964,18.56393,16.70360,0.10484,geometries/run_004.stl,0.05872,-0.12267,3.3935,-7.0895
run_005,0.26301,3.28194,0.36033,7.05119,5.21949,0.10484,geometries/run_005.stl,0.15766,-0.09831,9.1117,-5.6814
run_006,0.29543,2.27151,0.17640,29.29782,13.75507,0.10484,geometries/run_006.stl,0.18615,0.14017,10.7584,8.1011
run_007,0.22635,2.14313,0.32401,8.07773,15.55503,0.10484,geometries/run_007.stl,0.08897,-0.17340,5.1418,-10.0212
run_008,0.26094,2.39932,0.19229,20.76826,2.52796,0.10484,geometries/run_008.stl,0.22187,0.13034,12.8224,7.5327
run_009,0.34533,3.53359,0.24732,28.19115,11.81004,0.10484,geometries/run_009.stl,0.14723,0.09181,8.5088,5.3059
run_010,0.26633,2.62485,0.19836,5.90316,15.88247,0.10484,geometries/run_010.stl,0.12968,-0.17661,7.4943,-10.2069
run_011,0.18037,1.96961,0.18423,7.47088,16.14758,0.10484,geometries/run_011.stl,0.14011,-0.16412,8.0976,-9.4851
run_012,0.32555,1.84435,0.16549,9.84063,14.39421,0.10484,geometries/run_012.stl,0.13022,-0.07910,7.5259,-4.5715
run_013,0.30408,2.96752,0.23270,5.41025,5.92721,0.10484,geometries/run_013.stl,0.16447,-0.11118,9.5052,-6.4254
run_014,0.26464,3.34566,0.31697,11.40960,8.15695,0.10484,geometries/run_014.stl,0.14314,-0.06934,8.2727,-4.0074
run_015,0.29786,2.05638,0.29862,20.09228,18.03602,0.10484,geometries/run_015.stl,0.09022,-0.06978,5.2140,-4.0330
run_016,0.24223,3.92903,0.26914,21.42355,13.99621,0.10484,geometries/run_016.stl,0.13263,-0.03014,7.6650,-1.7420
run_017,0.17818,3.96412,0.34695,16.21640,9.08316,0.10484,geometries/run_017.stl,0.15277,-0.05969,8.8291,-3.4499
run_018,0.32141,1.92299,0.27615,12.42062,7.61641,0.10484,geometries/run_018.stl,0.14838,-0.01975,8.5756,-1.1415
run_019,0.31895,3.07580,0.38523,17.89208,5.33968,0.10484,geometries/run_019.stl,0.12222,0.03703,7.0637,2.1402
run_020,0.31349,1.86042,0.28903,5.00642,7.03687,0.10484,geometries/run_020.stl,0.13749,-0.11997,7.9460,-6.9337
run_021,0.29214,3.80314,0.25360,13.72992,8.18290,0.10484,geometries/run_021.stl,0.16539,-0.02821,9.5582,-1.6301
run_022,0.28591,2.22495,0.39728,26.75433,0.80387,0.10484,geometries/run_022.stl,0.14098,0.28093,8.1478,16.2360
run_023,0.32357,3.63003,0.17142,9.70165,9.22878,0.10484,geometries/run_023.stl,0.17516,-0.06340,10.1227,-3.6641
run_024,0.24903,2.71563,0.16857,7.83004,3.15973,0.10484,geometries/run_024.stl,0.20786,-0.05947,12.0126,-3.4368
run_025,0.24418,2.45146,0.19137,13.10346,1.06873,0.10484,geometries/run_025.stl,0.22760,0.04739,13.1537,2.7385
run_026,0.15472,3.56406,0.30296,17.63607,12.23485,0.10484,geometries/run_026.stl,0.15677,-0.08248,9.0604,-4.7665
run_027,0.34996,3.41753,0.24275,29.62860,0.98621,0.10484,geometries/run_027.stl,0.22136,0.30533,12.7933,17.6460
run_028,0.32252,1.55228,0.33346,23.21422,13.25442,0.10484,geometries/run_028.stl,0.09117,-0.01803,5.2689,-1.0421
run_029,0.23456,2.18059,0.33850,25.74189,14.99640,0.10484,geometries/run_029.stl,0.09153,-0.04545,5.2898,-2.6268
run_030,0.16196,2.48133,0.36429,14.25958,17.31524,0.10484,geometries/run_030.stl,0.08893,-0.15756,5.1398,-9.1060
run_031,0.25888,3.20247,0.39238,14.43188,9.37189,0.10484,geometries/run_031.stl,0.10283,-0.07828,5.9431,-4.5241
run_032,0.15982,1.68925,0.30577,6.86721,17.07419,0.10484,geometries/run_032.stl,0.11927,-0.19278,6.8928,-11.1413
run_033,0.26772,3.89938,0.15248,22.43393,8.84118,0.10484,geometries/run_033.stl,0.21515,0.09415,12.4344,5.4410
run_034,0.18785,3.36427,0.22030,24.80499,17.63923,0.10484,geometries/run_034.stl,0.15941,-0.00549,9.2130,-0.3175
run_035,0.23659,2.88677,0.19585,13.77257,11.04190,0.10484,geometries/run_035.stl,0.16049,-0.04060,9.2754,-2.3463
run_036,0.20852,2.10639,0.33017,14.93418,1.70466,0.10484,geometries/run_036.stl,0.18846,0.05439,10.8918,3.1435
run_037,0.30056,3.67972,0.29564,20.26109,16.28959,0.10484,geometries/run_037.stl,0.10280,-0.07496,5.9412,-4.3321
run_038,0.22344,3.30748,0.21224,9.41018,15.14112,0.10484,geometries/run_038.stl,0.12534,-0.13365,7.2439,-7.7238
run_039,0.15303,2.36251,0.39401,28.91741,7.78161,0.10484,geometries/run_039.stl,0.13731,0.07143,7.9357,4.1284
run_040,0.30704,3.77142,0.22187,20.59502,4.16434,0.10484,geometries/run_040.stl,0.20441,0.11160,11.8132,6.4495
run_041,0.27628,3.10142,0.37775,26.64128,6.41561,0.10484,geometries/run_041.stl,0.11966,0.11695,6.9156,6.7587
run_042,0.20051,3.71706,0.20167,25.04081,0.21410,0.10484,geometries/run_042.stl,0.26241,0.20246,15.1656,11.7007
